Tanggal,Media,Topik,Topik_Cleaned,label
1-Mar-21,Lapor Sleman,Jalan Berlubang,jalan berlubang,1
1-Mar-21,Website,Pendaftaran Vaksin,pendaftaran vaksin,0
1-Mar-21,Instagram,Vaksin bagi WNA,vaksin wna,0
1-Mar-21,Twitter,Pendaftaran Vaksin lansia,pendaftaran vaksin lansia,0
2-Mar-21,Facebook Pemkab Sleman,Info transmigrasi,transmigrasi,0
2-Mar-21,Website,SK tentang Satgas,sk satgas,0
2-Mar-21,Lapor Sleman,Perbaikan Jembatan,perbaikan jembatan,0
2-Mar-21,Twitter,Mengecek status pendaftaran vaksin,mengecek status pendaftaran vaksin,0
2-Mar-21,Instagram,Pendaftaran Vaksin lansia,pendaftaran vaksin lansia,0
2-Mar-21,Instagram,Pendaftaran Vaksin,pendaftaran vaksin,0
2-Mar-21,Twitter,Ruang tunggu RSUD Prambanan,ruang tunggu rsud prambanan,0
2-Mar-21,Instagram,Pelayanan online Dukcapil,pelayanan online dukcapil,0
2-Mar-21,Instagram,Pendaftaran vaksin lansia,pendaftaran vaksin lansia,0
2-Mar-21,Twitter,Pendaftaran vaksin gagal,pendaftaran vaksin gagal,0
2-Mar-21,Lapor Sleman,Nik Saya Tidak Keluar Saat Akan Di Gunakan,nik keluar gunakan,0
2-Mar-21,Lapor Sleman,Penggantian Lampu PJU,penggantian lampu pju,1
2-Mar-21,Website,Bantuan KIS,bantuan kis,0
2-Mar-21,Instagram,Vaksinasi untuk lansia yang mengalami stroke,vaksinasi lansia mengalami stroke,0
2-Mar-21,Instagram,Biaya periksa untuk mendapatkan Surat Keterangan Sehat,biaya periksa mendapatkan surat keterangan sehat,0
2-Mar-21,Instagram,Jadwal vaksinasi,jadwal vaksinasi,0
2-Mar-21,Lapor.go.id,Hati - hati choyang terapi gratis,hati hati choyang terapi gratis,0
2-Mar-21,Lapor Sleman,PJU Di Jembatan Kadisoka Mati,pju jembatan kadisoka mati,1
2-Mar-21,Lapor Sleman,Tiang Kabel FO Di Sleman Sekarang Semrawut,tiang kabel fo sekarang semrawut,1
2-Mar-21,Website,Pembuatan Akta Kelahiran online,pembuatan akta kelahiran online,0
2-Mar-21,Website,Permohonan PKH,permohonan pkh,0
2-Mar-21,Website,Pendaftaran Vaksin,pendaftaran vaksin,0
2-Mar-21,Instagram,Bangunan di atas irigasi,bangunan atas irigasi,0
2-Mar-21,Instagram,Pendaftaran vaksin lansia eror,pendaftaran vaksin lansia eror,0
3-Mar-21,Twitter,Pendaftaran Vaksin,pendaftaran vaksin,0
3-Mar-21,Lapor Sleman,Permohonan Penebangan Pohon,permohonan penebangan pohon,1
3-Mar-21,Lapor Sleman,Baliho Hampir Rubuh,baliho hampir rubuh,0
3-Mar-21,Lapor Sleman,Ketidak Jelasan,ketidak jelasan,0
3-Mar-21,Lapor Sleman,Kabel Pju Putus,kabel pju putus,1
3-Mar-21,Twitter,Pendaftaran vaksin,pendaftaran vaksin,0
3-Mar-21,Instagram,Pendaftaran vaksin,pendaftaran vaksin,0
3-Mar-21,Instagram,Pendaftaran vaksiin lansia eror,pendaftaran vaksiin lansia eror,0
3-Mar-21,Instagram,Pendaftaran vaksin lansia,pendaftaran vaksin lansia,0
3-Mar-21,Instagram,Pendaftaran untuk nakes yang tertunda,pendaftaran nakes tertunda,0
3-Mar-21,Instagram,Jadwal vaksinasi,jadwal vaksinasi,0
3-Mar-21,Instagram,Vaksinasi bagi pekerja di luar Sleman dan ber KTP Sleman,vaksinasi pekerja luar ber ktp,0
3-Mar-21,Instagram,Jam operasional supermarket,jam operasional supermarket,0
4-Mar-21,Instagram,Swab antigen,swab antigen,0
4-Mar-21,Lapor Sleman,Warung Masa Pandemi Buka 24 Jam,warung masa pandemi buka jam,0
4-Mar-21,Instagram,Pendaftaran vaksin bagi pelaku wisata,pendaftaran vaksin pelaku wisata,0
4-Mar-21,Instagram,Pendaftaran vaksin bagi atlet,pendaftaran vaksin atlet,0
4-Mar-21,Website,Informasi kambing etawa,kambing etawa,0
4-Mar-21,Twitter,Pengumpulan dokumen penting,pengumpulan dokumen penting,0
4-Mar-21,Twitter,Pendaftaran vaksin lansia,pendaftaran vaksin lansia,0
4-Mar-21,Email,Vaksin untuk dokter,vaksin dokter,0
4-Mar-21,Email,Permohonan program student exchange,permohonan program student exchange,0
4-Mar-21,Instagram,Jadwal vaksin,jadwal vaksin,0
4-Mar-21,Facebook Pemkab Sleman,Bantuan Sosial,bantuan sosial,0
4-Mar-21,Instagram,Berita dari masyarakat,berita masyarakat,0
4-Mar-21,Instagram,Pendaftaran vaksin,pendaftaran vaksin,0
5-Mar-21,Lapor Sleman,Jalan Berlubang Menyebabkan Kecelakaan,jalan berlubang menyebabkan kecelakaan,1
5-Mar-21,Lapor Sleman,Lampu Pju Mati,lampu pju mati,1
5-Mar-21,Website,Permohonan PIP,permohonan pip,0
5-Mar-21,Twitter,Underpass kentungan gril drainase rusak,underpass kentungan gril drainase rusak,1
5-Mar-21,Twitter,Jadwal vaksin,jadwal vaksin,0
5-Mar-21,Instagram,Jadwal Pendaftaran vaksin lansia,jadwal pendaftaran vaksin lansia,0
5-Mar-21,Instagram,Pendaftaran vaksin,pendaftaran vaksin,0
5-Mar-21,Instagram,Pendaftaran vaksin lansia,pendaftaran vaksin lansia,0
5-Mar-21,Instagram,W GYM melaksanakan denam didalam ruangan,w gym melaksanakan denam didalam ruangan,0
5-Mar-21,Instagram,Pelayanan online dukcapil,pelayanan online dukcapil,0
5-Mar-21,Instagram,Underpass kentungan gril drainase rusak,underpass kentungan gril drainase rusak,1
6-Mar-21,Lapor Sleman,Jalaan Amblong,jalaan amblong,0
6-Mar-21,Lapor Sleman,Pondasi Selatan Embung Tambakboyo Ambrol,pondasi selatan embung tambakboyo ambrol,0
6-Mar-21,Lapor Sleman,Lampu PJU Mati,lampu pju mati,1
6-Mar-21,Website,Pendaftaran vaksin lansia,pendaftaran vaksin lansia,0
6-Mar-21,Twitter,Pembakaran sampah,pembakaran sampah,1
6-Mar-21,Twitter,Pendaftaran vaksin,pendaftaran vaksin,0
6-Mar-21,Instagram,Sekolah tatap muka,sekolah tatap muka,0
6-Mar-21,Instagram,Pendaftaran vaksin untuk pedagang,pendaftaran vaksin pedagang,0
6-Mar-21,Instagram,Kebijakan ronda,kebijakan ronda,0
6-Mar-21,Instagram,Vaksin untuk pekerja publik,vaksin pekerja publik,0
6-Mar-21,Instagram,Vaksin untuk nakes,vaksin nakes,0
6-Mar-21,Instagram,Pendaftaran vaksin,pendaftaran vaksin,0
6-Mar-21,Instagram,Puskesmas yang menerima lahiran,puskesmas menerima lahiran,0
6-Mar-21,Instagram,Jadwal vaksin,jadwal vaksin,0
6-Mar-21,Instagram,Lowongan magang di Dinas Kominfo,lowongan magang dinas kominfo,0
6-Mar-21,Instagram,Jadwal vaksin tenaga pendidik,jadwal vaksin tenaga pendidik,0
6-Mar-21,Instagram,Pendaftaran vaksin Kota Jogja,pendaftaran vaksin kota,0
7-Mar-21,Lapor Sleman,Lampu PJU,lampu pju,1
7-Mar-21,Lapor Sleman,Kegiatan Masa Pandemi,kegiatan masa pandemi,0
7-Mar-21,Twitter,Pendaftaran vaksin,pendaftaran vaksin,0
7-Mar-21,Twitter,Pendaftaran vaksin lansia,pendaftaran vaksin lansia,0
7-Mar-21,Instagram,Pendaftaran vaksin lansia,pendaftaran vaksin lansia,0
7-Mar-21,Instagram,Pendaftaran vaksin,pendaftaran vaksin,0
7-Mar-21,Instagram,Pendaftaran vaksin GTT,pendaftaran vaksin gtt,0
7-Mar-21,Instagram,Pendafaran vaksin lansia,pendafaran vaksin lansia,0
7-Mar-21,Instagram,Pendafaran vaksin,pendafaran vaksin,0
7-Mar-21,Instagram,Perkumpulan kegiatan RT,perkumpulan kegiatan rt,0
8-Mar-21,Twitter,Pengelolaan lapangan Pemda Sleman,pengelolaan lapangan pemda,0
8-Mar-21,Twitter,Penutupan pipa IPAL mengganggu kenyamanan jalan,penutupan pipa ipal mengganggu kenyamanan jalan,0
8-Mar-21,Instagram,Jadwal vaksin lansia,jadwal vaksin lansia,0
8-Mar-21,Instagram,Pendaftaran vaksin lansia,pendaftaran vaksin lansia,0
8-Mar-21,Instagram,Jadwal Vaksin,jadwal vaksin,0
8-Mar-21,Instagram,Vaksin bagi mahasiswa,vaksin mahasiswa,0
8-Mar-21,Instagram,Vaksin bagi pendidik,vaksin pendidik,0
8-Mar-21,Instagram,Nakes belum di vaksin,nakes vaksin,0
8-Mar-21,Instagram,Pendaftaran vaksin,pendaftaran vaksin,0
8-Mar-21,Facebook Pemkab Sleman,Vaksin bagi pelaku pariwisata,vaksin pelaku pariwisata,0
8-Mar-21,Twitter,Jadwal vaksin lansia,jadwal vaksin lansia,0
8-Mar-21,Twitter,Pendaftaran vaksin eror,pendaftaran vaksin eror,0
8-Mar-21,Lapor Sleman,Drive Thru,drive thru,0
8-Mar-21,Lapor Sleman,Daftar Vaksin,daftar vaksin,0
8-Mar-21,Instagram,Prosedur Akta Lahir,prosedur akta lahir,0
8-Mar-21,Instagram,Pendaftaran vaksin PNS pusat yang tugas belajar,pendaftaran vaksin pns pusat tugas belajar,0
8-Mar-21,Instagram,Surat numpang nikah,surat numpang nikah,0
8-Mar-21,Instagram,Vaksin untuk pendidik,vaksin pendidik,0
9-Mar-21,Twitter,Pendaftaran vaksin lansia,pendaftaran vaksin lansia,0
9-Mar-21,Email,Surat Ijin numpang nikah,surat ijin numpang nikah,0
9-Mar-21,Instagram,Antrian vaksin di SCH,antrian vaksin sch,0
9-Mar-21,Instagram,Pendaftaran vaksin untuk ASN pusat,pendaftaran vaksin asn pusat,0
9-Mar-21,Instagram,Jadwal vaksin,jadwal vaksin,0
9-Mar-21,Instagram,Usaha rosok mencemari lingkungan,usaha rosok mencemari lingkungan,0
9-Mar-21,Twitter,Pendaftaran vaksin,pendaftaran vaksin,0
9-Mar-21,Website,Pendaftaran vaksin,pendaftaran vaksin,0
9-Mar-21,Instagram,Pendaftaran vaksin,pendaftaran vaksin,0
9-Mar-21,Facebook Pemkab Sleman,Formulir pindah di website dukcapil,formulir pindah website dukcapil,0
9-Mar-21,Instagram,Kontak Puskeswan,kontak puskeswan,0
9-Mar-21,Twitter,PJU mati,pju mati,1
10-Mar-21,Lapor Sleman,MATI LISTRIK SEJAK MALAM,mati listrik sejak,1
10-Mar-21,Lapor Sleman,Aspal Berlubang,aspal berlubang,1
10-Mar-21,Lapor Sleman,Pohon Kering,pohon kering,1
10-Mar-21,Lapor Sleman,Lampu Penerangan Jalan Mati,lampu penerangan jalan mati,1
10-Mar-21,Lapor Sleman,Penyalah Gunakan Trotoar,penyalah gunakan trotoar,0
10-Mar-21,Website,Pendaftaran Uji KIR,pendaftaran uji kir,0
10-Mar-21,Website,Kerumunan masa,kerumunan masa,0
10-Mar-21,Twitter,Jadwal Vaksin,jadwal vaksin,0
10-Mar-21,Instagram,Kerumunan masa di rel kereta api gamping,kerumunan masa rel kereta api gamping,0
10-Mar-21,Instagram,Layanan online dukcapil,layanan online dukcapil,0
10-Mar-21,Facebook Pemkab Sleman,Jadwal vaksin,jadwal vaksin,0
10-Mar-21,Instagram,Jadwal vaksin,jadwal vaksin,0
10-Mar-21,Instagram,Pendaftaran vaksin lansia,pendaftaran vaksin lansia,0
10-Mar-21,Instagram,Sinkronisasi NIK dan No KK,sinkronisasi nik no kk,0
10-Mar-21,Facebook Pemkab Sleman,Sinkronsisasi NIK dan No KK,sinkronsisasi nik no kk,0
10-Mar-21,Instagram,Pendaftaran vaksin,pendaftaran vaksin,0
10-Mar-21,Instagram,Spanduk robek di atas jalan,spanduk robek atas jalan,0
11-Mar-21,Lapor Sleman,JADWAL VAKSINASI COVID 19,jadwal vaksinasi covid,0
11-Mar-21,Lapor Sleman,Asap Penjual Sate,asap penjual sate,1
11-Mar-21,Lapor Sleman,Aduan Kerusakan Infrastruktur Jalan Di Balecatur,aduan kerusakan infrastruktur jalan balecatur,1
11-Mar-21,Lapor Sleman,Memaksimalkan Aplikasi,memaksimalkan aplikasi,0
11-Mar-21,Twitter,PJU Mati,pju mati,1
11-Mar-21,Twitter,Vaksinasi bagi ASN di SCH,vaksinasi asn sch,0
11-Mar-21,Twitter,Jalan mudah retak,jalan mudah retak,0
11-Mar-21,Instagram,Data Kasus Covdi - 19,data kasus covdi,0
11-Mar-21,Instagram,Sinkronisasi data kependudukan,sinkronisasi data kependudukan,0
12-Mar-21,Website,Kerumunan masa,kerumunan masa,0
12-Mar-21,Lapor.go.id,Sinkronisasi NIK,sinkronisasi nik,0
12-Mar-21,Lapor.go.id,Penggunaan Meja Billiard yang mengganggu kenyamanan,penggunaan meja billiard mengganggu kenyamanan,1
12-Mar-21,Instagram,Jadwal vaksin,jadwal vaksin,0
12-Mar-21,Facebook Pemkab Sleman,Jadwal vaksin,jadwal vaksin,0
12-Mar-21,Instagram,Pendaftaran vaksin,pendaftaran vaksin,0
12-Mar-21,Instagram,Permohonan akte kelahiran,permohonan akte kelahiran,0
12-Mar-21,Website,Pendaftaran vaksin,pendaftaran vaksin,0
12-Mar-21,Website,Proyek IPAL di Jl Wahid Hasyim,proyek ipal jl wahid hasyim,0
12-Mar-21,Lapor Sleman,Trotoar,trotoar,0
12-Mar-21,Website,PJU mati,pju mati,1
12-Mar-21,Twitter,Pendaftaran vaksin pedagang,pendaftaran vaksin pedagang,0
12-Mar-21,Twitter,Pendaftaran vaksin masyarakat,pendaftaran vaksin masyarakat,0
12-Mar-21,Twitter,Jadwal vaksin,jadwal vaksin,0
12-Mar-21,Twitter,Bantuan BPNT,bantuan bpnt,0
12-Mar-21,Twitter,Pendaftaran Vaksin Lansia,pendaftaran vaksin lansia,0
12-Mar-21,Instagram,Pendaftaran Vaksin Lansia,pendaftaran vaksin lansia,0
12-Mar-21,Facebook Pemkab Sleman,Rekrutmen Polri dan Basarnas,rekrutmen polri basarnas,0
12-Mar-21,Instagram,Jadwal vaksin tenaga pendidik,jadwal vaksin tenaga pendidik,0
12-Mar-21,Instagram,Warga menerima tamu menginap,warga menerima tamu menginap,0
13-Mar-21,Twitter,Formasi CPNS Sleman,formasi cpns,0
13-Mar-21,Twitter,Baliho sobek,baliho sobek,0
13-Mar-21,Instagram,Baliho sobek,baliho sobek,0
13-Mar-21,Website,Tetangga membakar sampah,tetangga membakar sampah,1
13-Mar-21,Twitter,PJU malam mati siang hidup,pju mati hidup,1
13-Mar-21,Twitter,Insentif nakes ruang covid - 19,insentif nakes ruang covid,0
13-Mar-21,Twitter,Baliho ilegal,baliho ilegal,0
13-Mar-21,Instagram,Pendaftaran vaksin lansia,pendaftaran vaksin lansia,0
13-Mar-21,Instagram,Jadwal vaksin lansia,jadwal vaksin lansia,0
13-Mar-21,Instagram,Pindah masuk,pindah masuk,0
14-Mar-21,Instagram,Jadwal vaksin lansia,jadwal vaksin lansia,0
14-Mar-21,Lapor Sleman,Pemotor Knalpot Racing,pemotor knalpot racing,0
14-Mar-21,Lapor Sleman,LAMPU LALIN MATI,lampu lalin mati,1
14-Mar-21,Lapor Sleman,Menyerah Saya Gak Tahu Cara Membuat Laporan,menyerah tahu cara membuat laporan,0
14-Mar-21,Lapor Sleman,Lampu Apil Di Kamdanen Bisa Jadi Pembunuh Sadis,lampu apil kamdanen jadi pembunuh sadis,1
14-Mar-21,Lapor Sleman,Sampah Di Ring Road Wil.Sleman,sampah ring road wilsleman,1
14-Mar-21,Lapor Sleman,Mohon Info Prosedur Pendaftaran Vaksin Covid 19,prosedur pendaftaran vaksin covid,0
14-Mar-21,Lapor Sleman,ODGJ Yang Meresahkan,odgj meresahkan,0
14-Mar-21,Twitter,Embung Kaliaji Turi,embung kaliaji turi,0
15-Mar-21,Instagram,Akun medsos Dukcapil,akun medsos dukcapil,0
15-Mar-21,Lapor Sleman,Trotoar,trotoar,0
15-Mar-21,Facebook Pemkab Sleman,Pendaftaran bagi pegawai perusahaan swasta,pendaftaran pegawai perusahaan swasta,0
15-Mar-21,Instagram,Pendaftaran bagi pegawai perusahaan swasta,pendaftaran pegawai perusahaan swasta,0
15-Mar-21,Instagram,Pendaftaran vaksin lansia,pendaftaran vaksin lansia,0
15-Mar-21,Instagram,Jadwal vaksin lansia,jadwal vaksin lansia,0
15-Mar-21,Lapor Sleman,Surat Warga,surat warga,0
15-Mar-21,Lapor Sleman,Tidak Bisa Cetak Mandiri,cetak mandiri,0
15-Mar-21,Instagram,Barcode KK tidak bisa dibuka,barcode kk dibuka,0
15-Mar-21,Twitter,Pendaftaran vaksin lansia,pendaftaran vaksin lansia,0
15-Mar-21,Website,BPUM tidak cair,bpum cair,1
15-Mar-21,Website,Pendaftaran vaksin bagi seniman,pendaftaran vaksin seniman,0
15-Mar-21,Instagram,Pendaftaran vaksin,pendaftaran vaksin,0
15-Mar-21,Website,Penelitian kekerasan seksual pada anak,penelitian kekerasan seksual anak,0
15-Mar-21,Website,NPOP,npop,0
15-Mar-21,Instagram,Pendaftaran vaksin Dosen,pendaftaran vaksin dosen,0
15-Mar-21,Instagram,Jalan Gito Gati,jalan gito gati,0
15-Mar-21,Twitter,Pendaftaran vaksin,pendaftaran vaksin,0
15-Mar-21,Twitter,Jadwal vaksin lansia,jadwal vaksin lansia,0
16-Mar-21,Twitter,Jadwal vaksin lansia,jadwal vaksin lansia,0
16-Mar-21,Instagram,Permohonan pemasangan road barrier,permohonan pemasangan road barrier,0
16-Mar-21,Instagram,Pendaftaran vaksin lansia,pendaftaran vaksin lansia,0
16-Mar-21,Instagram,Perpanjang masa berlaku SIM,perpanjang masa berlaku sim,0
16-Mar-21,Twitter,Antrian vaksin di RSUD Sleman lama karena ada pejabat yang nyelani,antrian vaksin rsud lama pejabat nyelani,1
16-Mar-21,Instagram,Sinkronisasi data kependudukan,sinkronisasi data kependudukan,0
16-Mar-21,Lapor Sleman,Pendaftaran vaksin bagi seniman,pendaftaran vaksin seniman,0
16-Mar-21,Instagram,Membuat KK,membuat kk,0
16-Mar-21,Instagram,Kontak Satpol PP,kontak satpol pp,0
16-Mar-21,Lapor Sleman,Gangguan Parkir Kost,gangguan parkir kost,1
16-Mar-21,Instagram,Jadwal vaksin,jadwal vaksin,0
16-Mar-21,Lapor Sleman,Parkir Di Rsud Sleman Tidak Nyaman,parkir rsud nyaman,1
16-Mar-21,Instagram,Vaksin bagi lansia,vaksin lansia,0
16-Mar-21,Facebook Pemkab Sleman,Vaksin bagi lansia,vaksin lansia,0
16-Mar-21,Instagram,Pendaftaran vaksin pekerja publik,pendaftaran vaksin pekerja publik,0
17-Mar-21,Lapor Sleman,Adanya Oknum Yang Mengganggu Kenyamanan Para Penghuni Kos,adanya oknum mengganggu kenyamanan penghuni kos,0
17-Mar-21,Lapor Sleman,Pelayanan Genose Di Sardjito Buruk,pelayanan genose sardjito buruk,0
17-Mar-21,Lapor Sleman,Vaksin,vaksin,0
17-Mar-21,Lapor Sleman,Saluran Drainase Barat Pom Bensin Banyuraden Mampet,saluran drainase barat pom bensin banyuraden mampet,1
17-Mar-21,Website,Informasi PTSL,ptsl,0
17-Mar-21,Website,Bantuan sosial PKH,bantuan sosial pkh,0
17-Mar-21,Instagram,Sinkronisasi data kependudukan,sinkronisasi data kependudukan,0
17-Mar-21,Instagram,Perubahan data KTPel,perubahan data ktpel,0
17-Mar-21,Instagram,Pendaftaran Vaksin,pendaftaran vaksin,0
17-Mar-21,Instagram,Sertifikat vaksin,sertifikat vaksin,0
18-Mar-21,Instagram,Sinkronisasi data kependudukan,sinkronisasi data kependudukan,0
18-Mar-21,Instagram,Jadwal vaksin lansia,jadwal vaksin lansia,0
18-Mar-21,Twitter,Revitalisasi jalan damai,revitalisasi jalan damai,0
18-Mar-21,Instagram,Jalan gito gati berlubang,jalan gito gati berlubang,1
18-Mar-21,Website,Vaksin bagi pekerja kapal pesiar,vaksin pekerja kapal pesiar,0
18-Mar-21,Instagram,Jalan Magelang banjir saat hujan,jalan magelang banjir hujan,1
18-Mar-21,Lapor Sleman,Banjir,banjir,1
18-Mar-21,Website,Selokan tidak mampu menampung debit air,selokan mampu menampung debit air,1
18-Mar-21,Website,Perhitungan BPHTB,perhitungan bphtb,0
18-Mar-21,Twitter,Tunjangan profesi GURU,tunjangan profesi guru,0
18-Mar-21,Facebook Pemkab Sleman,BAntuan sosial,bantuan sosial,0
19-Mar-21,Website,SMS Jadwal vaksin,sms jadwal vaksin,0
19-Mar-21,Lapor Sleman,Jalan Cangkringan Kalasan Air Drainase Selalu Meluap,jalan cangkringan kalasan air drainase selalu meluap,1
19-Mar-21,Lapor Sleman,Lampu PJU Ringroad Barat Sebagian Mati,lampu pju ringroad barat sebagian mati,1
19-Mar-21,Twitter,Jalan Gito Gati,jalan gito gati,0
19-Mar-21,Twitter,APILL jalan palagan - jalan damai mati,apill jalan palagan jalan damai mati,1
19-Mar-21,Instagram,Jadwal vaksin bagi dosen,jadwal vaksin dosen,0
19-Mar-21,Instagram,Sertifikat vaksin,sertifikat vaksin,0
19-Mar-21,Instagram,Pendaftaran vaksin bagi ojek online,pendaftaran vaksin ojek online,0
19-Mar-21,Instagram,Jadwal vaksin lansia,jadwal vaksin lansia,0
19-Mar-21,Instagram,Pendaftaran vaksin lansia,pendaftaran vaksin lansia,0
19-Mar-21,Instagram,Kewenangan perangkat desa,kewenangan perangkat desa,0
19-Mar-21,Instagram,Vaksin untuk masyarakat umum,vaksin masyarakat umum,0
19-Mar-21,Facebook Pemkab Sleman,Tanah bengkok di tarik kalurahan,tanah bengkok tarik kalurahan,0
20-Mar-21,Lapor Sleman,"Jalan Berlubang Di Dusun Temuwuh Kidul, Balecatur",jalan berlubang dusun temuwuh kidul balecatur,1
20-Mar-21,Lapor Sleman,Taman Bermain Denggung,taman bermain denggung,0
20-Mar-21,Lapor Sleman,SAPU JALAN,sapu jalan,0
20-Mar-21,Lapor Sleman,Pendaftaran Vaksin Covid,pendaftaran vaksin covid,0
20-Mar-21,Lapor Sleman,Layanan online,layanan online,0
20-Mar-21,Website,SMS jadwal vaksin,sms jadwal vaksin,0
20-Mar-21,Twitter,APILL mati,apill mati,1
20-Mar-21,Twitter,PJU mati,pju mati,1
20-Mar-21,Twitter,Kabel FO menggantung,kabel fo menggantung,0
20-Mar-21,Instagram,Jadwal vaksin lansia,jadwal vaksin lansia,0
20-Mar-21,Instagram,jadwal vaksin,jadwal vaksin,0
21-Mar-21,Instagram,Update pindah faskes vaksin lansia,update pindah faskes vaksin lansia,0
21-Mar-21,Instagram,Jadwal vaksin lansia,jadwal vaksin lansia,0
22-Mar-21,Website,Bantuan sosial,bantuan sosial,0
22-Mar-21,Twitter,Jadwal vaksin bagi tokoh agama,jadwal vaksin tokoh agama,0
22-Mar-21,Instagram,Jadwal vaksin lansia,jadwal vaksin lansia,0
22-Mar-21,Instagram,Lokasi vaksin lansia,lokasi vaksin lansia,0
22-Mar-21,Instagram,Jadwal vaksin pelaku wisata,jadwal vaksin pelaku wisata,0
22-Mar-21,Instagram,Sinkronisasi data kependudukan,sinkronisasi data kependudukan,0
22-Mar-21,Twitter,Jadwal vaksin,jadwal vaksin,0
22-Mar-21,Twitter,Bantuan sosial,bantuan sosial,0
22-Mar-21,Lapor Sleman,IMB Dispensasi Yang Lama,imb dispensasi lama,1
22-Mar-21,Instagram,Informasi perpanjangan PPKM,perpanjangan ppkm,0
22-Mar-21,Instagram,Jadwal vaksin untuk pedagang,jadwal vaksin pedagang,0
22-Mar-21,Twitter,Jadwal vaksin lansia,jadwal vaksin lansia,0
22-Mar-21,Instagram,Jadwal vaksin pekerja publik,jadwal vaksin pekerja publik,0
22-Mar-21,Instagram,Jadwal vaksin,jadwal vaksin,0
22-Mar-21,Instagram,Tempat vaksin lansia,tempat vaksin lansia,0
22-Mar-21,Twitter,permohonan rambu rambu jalan,permohonan rambu rambu jalan,0
22-Mar-21,Twitter,Vaksin tidak sesuai jadwal,vaksin sesuai jadwal,0
23-Mar-21,Email,Tidak menerima SMS blast untuk jadwal vaksin lansia,menerima sms blast jadwal vaksin lansia,0
23-Mar-21,Twitter,Vaksinasi,vaksinasi,0
23-Mar-21,Lapor.go.id,NIK belum sinkron dengan No.KK Sehingga belum sinkron dengan lembaga lain,nik sinkron nokk sinkron lembaga,0
23-Mar-21,Lapor.go.id,Membakar Sampah Tiap Hari,membakar sampah tiap hari,1
23-Mar-21,Lapor Sleman,Vaksin Covid,vaksin covid,0
23-Mar-21,Instagram,Form Skrining,form skrining,0
23-Mar-21,Instagram,Pengumuman CPNS,pengumuman cpns,0
23-Mar-21,Twitter,Pendaftaran vaksin,pendaftaran vaksin,0
23-Mar-21,Instagram,Pendaftaran vaksin,pendaftaran vaksin,0
23-Mar-21,Instagram,Pengajuan Akta online ditolak,pengajuan akta online ditolak,0
23-Mar-21,Lapor Sleman,Pengamen Meresahkan,pengamen meresahkan,0
23-Mar-21,Website,Pajak,pajak,0
23-Mar-21,Lapor Sleman,Food Court Denggung,food court denggung,0
23-Mar-21,Twitter,Jadwal vaksin lansia,jadwal vaksin lansia,0
23-Mar-21,Twitter,Lokasi vaksin lansia,lokasi vaksin lansia,0
23-Mar-21,Twitter,Pendaftaran vaksin bagi KTP luar Sleman,pendaftaran vaksin ktp luar,0
23-Mar-21,Lapor Sleman,Lampu Kedap Kedip,lampu kedap kedip,1
23-Mar-21,Website,Bantuan Sosial,bantuan sosial,0
23-Mar-21,Twitter,Permohonan akses LPPD,permohonan akses lppd,0
23-Mar-21,Instagram,Vaksin lansia,vaksin lansia,0
23-Mar-21,Instagram,Lokasi vaksin lansia berubah ubah,lokasi vaksin lansia berubah ubah,0
24-Mar-21,Lapor Sleman,Vaksin Lansia,vaksin lansia,0
24-Mar-21,Twitter,Vaksin Lansia,vaksin lansia,0
24-Mar-21,Twitter,Pendaftaran vaksin lansia,pendaftaran vaksin lansia,0
24-Mar-21,Instagram,Prosedur pindah penduduk masuk,prosedur pindah penduduk masuk,0
24-Mar-21,Instagram,Pendaftaran vaksin tutup,pendaftaran vaksin tutup,0
24-Mar-21,Instagram,Vaksin bagi karyawan telkom,vaksin karyawan telkom,0
24-Mar-21,Instagram,Pelayanan online Dukcapil,pelayanan online dukcapil,0
24-Mar-21,Website,Perizinan pernikahan,perizinan pernikahan,0
24-Mar-21,Twitter,Informasi CSR untuk di akses masyarakat,csr akses masyarakat,0
24-Mar-21,Instagram,Gorong Gorong ambles,gorong gorong ambles,0
24-Mar-21,Instagram,Vaksin bagi pelaku pariwisata pelayaran keluar negeri,vaksin pelaku pariwisata pelayaran keluar negeri,0
25-Mar-21,Twitter,Jadwla vaksin lansia,jadwla vaksin lansia,0
25-Mar-21,Lapor Sleman,Laporan Tinggal Laporan,laporan tinggal laporan,0
25-Mar-21,Lapor Sleman,VAKSIN COVID 19 BAGI LANSIA DAN IBU RUMAH TANGGA,vaksin covid lansia ibu rumah tangga,0
25-Mar-21,Lapor Sleman,KK Dan Nik Tidak Sesuai,kk nik sesuai,0
25-Mar-21,Website,Bantuan Sosial,bantuan sosial,0
25-Mar-21,Website,SMS jadwal vaksin,sms jadwal vaksin,0
25-Mar-21,Instagram,Jalan Nologaten,jalan nologaten,0
25-Mar-21,Instagram,Prosedur isoman,prosedur isoman,0
25-Mar-21,Facebook Pemkab Sleman,Bantuan KB IUD,bantuan kb iud,0
26-Mar-21,Twitter,Pendaftaran vaksin lansia,pendaftaran vaksin lansia,0
26-Mar-21,Twitter,data pendaftaran vaksin lansia,data pendaftaran vaksin lansia,0
26-Mar-21,Instagram,Pendaftaran vaksin lansia,pendaftaran vaksin lansia,0
26-Mar-21,Instagram,Jadwla vaksin lansia,jadwla vaksin lansia,0
26-Mar-21,Facebook Pemkab Sleman,Jadwla vaksin lansia,jadwla vaksin lansia,0
