Tanggal,Media,Topik,Topik_Cleaned
7-Jul-21,Lapor Sleman,PPKM Darurat,ppkm darurat
7-Jul-21,Lapor Sleman,Perubahan Faskes,perubahan faskes
7-Jul-21,Lapor Sleman,Pembetulan Data No.HP,pembetulan data nohp
7-Jul-21,Lapor Sleman,Mansion Masih Buka,mansion buka
7-Jul-21,Lapor Sleman,Mengganti Faskes Vaksin,mengganti faskes vaksin
7-Jul-21,Lapor Sleman,WARUNG MAKAN YG MASIH MENERIMA DINE IN,warung makan menerima dine in
7-Jul-21,Lapor Sleman,Belum Mendapatkan SMS Dan Jadwal Dosis-2 Setelah Vaksin Pertama,mendapatkan sms jadwal dosis vaksin pertama
7-Jul-21,Lapor Sleman,Pelanggaran PPKM,pelanggaran ppkm
7-Jul-21,Website,balapan liar,balapan liar
7-Jul-21,Website,vaksin pekerja publik,vaksin pekerja publik
7-Jul-21,Twitter,Prosedur pelaporna pasien Covid,prosedur pelaporna pasien covid
7-Jul-21,Instagram,Vaksin untuk umum dan mahasiswa,vaksin umum mahasiswa
7-Jul-21,Instagram,Vaksin untuk umum dan remaja,vaksin umum remaja
7-Jul-21,Twitter,CPNS,cpns
7-Jul-21,Twitter,vaksin umum dan remaja,vaksin umum remaja
7-Jul-21,Twitter,Informasi swab gratis untuk tracing,swab gratis tracing
7-Jul-21,Instagram,Pemadaman PJU,pemadaman pju
7-Jul-21,Facebook Pemkab Sleman,Pendaftaran vaksin,pendaftaran vaksin
7-Jul-21,Instagram,Pendaftaran vaksin,pendaftaran vaksin
7-Jul-21,Instagram,Cara Ganti Faskes Vaksin,cara ganti faskes vaksin
7-Jul-21,Instagram,Vaksin antri berkerumunan,vaksin antri berkerumunan
8-Jul-21,Twitter,Prosedur pelaporan pasien Covid,prosedur pelaporan pasien covid
8-Jul-21,Website,vaksin umum dan remaja,vaksin umum remaja
8-Jul-21,Lapor Sleman,Sertifikat Vakain 1,sertifikat vakain
8-Jul-21,Lapor Sleman,Beberapa Warung Makan Masih Boleh Makan Ditempat.,beberapa warung makan makan ditempat
8-Jul-21,Lapor Sleman,PPKM Darurat,ppkm darurat
8-Jul-21,Twitter,Pemadaman PJU,pemadaman pju
8-Jul-21,Twitter,Pelanggaran PPKM,pelanggaran ppkm
8-Jul-21,Facebook Pemkab Sleman,Pelanggaran Prokes,pelanggaran prokes
8-Jul-21,Instagram,Vaksinasi umum,vaksinasi umum
8-Jul-21,Instagram,CPNS,cpns
8-Jul-21,Instagram,Link tidka bisa dibuka,link tidka dibuka
8-Jul-21,Instagram,Vaksin umum dan remaja,vaksin umum remaja
8-Jul-21,Instagram,Pemadaman PJU,pemadaman pju
8-Jul-21,Instagram,Faskes vaksin,faskes vaksin
8-Jul-21,Twitter,PJU ring road mati,pju ring road mati
8-Jul-21,Twitter,CPNS,cpns
8-Jul-21,Lapor Sleman,Covid 19,covid
8-Jul-21,Twitter,Informasi perpanjangan status tanggap darurat,perpanjangan status tanggap darurat
8-Jul-21,Twitter,Vaksin umum dan remaja,vaksin umum remaja
8-Jul-21,Lapor Sleman,Pelanggaran Ppkm Fatal,pelanggaran ppkm fatal
8-Jul-21,Lapor Sleman,JEMPOLAN KOPI TIYASAN DEPOK Masih Beroperasi Di Masa PPKM Darurat,jempolan kopi tiyasan depok beroperasi masa ppkm darurat
8-Jul-21,Lapor Sleman,Warga Kurang Mampu Terkena Covid,warga kurang mampu terkena covid
8-Jul-21,Lapor Sleman,PELANGGARAN PPKM DARURAT,pelanggaran ppkm darurat
8-Jul-21,Facebook Pemkab Sleman,Prosedur pemeriksaan pasien covid,prosedur pemeriksaan pasien covid
9-Jul-21,Lapor Sleman,Scrining Dinyatakan Positiv Covid,scrining dinyatakan positiv covid
9-Jul-21,Lapor Sleman,Scrining Di Positiv Covidkan An Kuswardono,scrining positiv covidkan an kuswardono
9-Jul-21,Lapor Sleman,Pelanggaran PPKM,pelanggaran ppkm
9-Jul-21,Lapor Sleman,Hajatan,hajatan
9-Jul-21,Lapor Sleman,Kapan Jadwal Vaksin Di Share,kapan jadwal vaksin share
9-Jul-21,Lapor Sleman,Pernikahan Masa Ppkm,pernikahan masa ppkm
9-Jul-21,Lapor Sleman,Pelanggaran Ppkm,pelanggaran ppkm
9-Jul-21,Website,Salah entri nama saat daftar vaksin,salah entri nama daftar vaksin
9-Jul-21,Website,Pelayanan vaksin di RS UAD,pelayanan vaksin rs uad
9-Jul-21,Website,Bantuan sosial,bantuan sosial
9-Jul-21,Twitter,Cara daftar vaksin,cara daftar vaksin
9-Jul-21,Twitter,CPNS,cpns
9-Jul-21,Twitter,Daftar vaksin umum,daftar vaksin umum
9-Jul-21,Twitter,Prosedur pelaporan pasien Covid,prosedur pelaporan pasien covid
9-Jul-21,Twitter,Salah input no hp saat daftar vaksin,salah input no hp daftar vaksin
9-Jul-21,Facebook Pemkab Sleman,Aturan PPKM untuk pedagang kaki lima,aturan ppkm pedagang kaki lima
9-Jul-21,Facebook Pemkab Sleman,Faskes vaksin penuh,faskes vaksin penuh
10-Jul-21,Website,Pindah faskes vaksin,pindah faskes vaksin
10-Jul-21,Lapor Sleman,Aturan PPKM Darurat,aturan ppkm darurat
10-Jul-21,Lapor Sleman,Covid19,covid
10-Jul-21,Lapor Sleman,Jalan Jemblong Berlubang,jalan jemblong berlubang
10-Jul-21,Lapor Sleman,Belum Mendapat Sertifikat Vaksin,mendapat sertifikat vaksin
10-Jul-21,Twitter,Salah input nama saat daftar vaksin,salah input nama daftar vaksin
10-Jul-21,Instagram,Kuota faskes penuh,kuota faskes penuh
11-Jul-21,Lapor Sleman,Nomor Dan Tanggal Legalisir Ijazah Skhun Dan Raport SD Dan SMP,nomor tanggal legalisir ijazah skhun raport sd smp
11-Jul-21,Lapor Sleman,Positif Covid19,positif covid
11-Jul-21,Lapor Sleman,Lapor Tindak Lanjut Tracing,tracing
11-Jul-21,Lapor Sleman,Pengumuman Jadwal Vaksin Ygkurang Transparan,pengumuman jadwal vaksin ygkurang transparan
11-Jul-21,Lapor Sleman,Mohon Batuan Tenaga Medis,batuan tenaga medis
11-Jul-21,Lapor Sleman,Kurangnya Kesadaran Masyarakat Tentang PSBB Darurat 3-20 Juli 2021,kurangnya kesadaran masyarakat psbb darurat juli
11-Jul-21,Lapor Sleman,Cara Pindah Tempat Vaksin,cara pindah tempat vaksin
11-Jul-21,Lapor Sleman,Rapat RT Saat PPKM Darurat,rapat rt ppkm darurat
11-Jul-21,Website,Penegakan PPKM,penegakan ppkm
11-Jul-21,Website,Aliran PDAM,aliran pdam
11-Jul-21,Website,Jam operasional,jam operasional
11-Jul-21,Twitter,CPNS,cpns
11-Jul-21,Instagram,Cara Ganti Faskes Vaksin,cara ganti faskes vaksin
12-Jul-21,Lapor Sleman,Pelanggaran PPKM Darurat,pelanggaran ppkm darurat
12-Jul-21,Lapor Sleman,PENDAFTARAN VAKSIN UNTUK MASYARAKAT UMUM & REMAJA 12-17thn MENGALAMI KENDALA,pendaftaran vaksin masyarakat umum remaja thn mengalami kendala
12-Jul-21,Lapor Sleman,Tidak Menerapkan PPKM,menerapkan ppkm
12-Jul-21,Website,Pendaftaran vaksin,pendaftaran vaksin
12-Jul-21,Website,Vaksin untuk umum,vaksin umum
12-Jul-21,Website,Prosedur pelaporan pasien Covid,prosedur pelaporan pasien covid
12-Jul-21,Twitter,Informasi pendaftaran vaksin,pendaftaran vaksin
12-Jul-21,Twitter,Pohon perindang,pohon perindang
12-Jul-21,Lapor.go.id,Kantor masih bekerja saat PPKM,kantor bekerja ppkm
12-Jul-21,Twitter,Penyembelehan hewan qurban,penyembelehan hewan qurban
12-Jul-21,Twitter,Akun Medsos DInkes,akun medsos dinkes
12-Jul-21,Website,Mengganti Faskes Vaksin,mengganti faskes vaksin
12-Jul-21,Lapor Sleman,Salah Isi Biodata Vaksin,salah isi biodata vaksin
12-Jul-21,Twitter,Penegakan PPKM,penegakan ppkm
12-Jul-21,Twitter,Pendaftaran vaksin warga luar daerah,pendaftaran vaksin warga luar
12-Jul-21,Twitter,Salah input NIK saat daftar vaksin,salah input nik daftar vaksin
12-Jul-21,Website,Perawatan hewan,perawatan hewan
12-Jul-21,Lapor Sleman,Papan Nama Usaha Di Jalan,papan nama usaha jalan
12-Jul-21,Lapor Sleman,Sertifikat Vaksinasi,sertifikat vaksinasi
12-Jul-21,Lapor Sleman,Vaksin 12-18,vaksin
12-Jul-21,Lapor Sleman,Perusahaan Melanggar Instruksi Gubernur Ttg PPKM Darurat,perusahaan melanggar instruksi gubernur ttg ppkm darurat
12-Jul-21,Twitter,Kuota vaksin umum,kuota vaksin umum
12-Jul-21,Lapor Sleman,Informasi Vaksin Covid,vaksin covid
12-Jul-21,Lapor Sleman,Vaksin Ke 2,vaksin
12-Jul-21,Website,Bantuan sosial jadup,bantuan sosial jadup
12-Jul-21,Website,Pabrik masih buka saat PPKM,pabrik buka ppkm
12-Jul-21,Website,Penegakan PPKM,penegakan ppkm
12-Jul-21,Twitter,Coffeeshop buka dine in,coffeeshop buka dine in
12-Jul-21,Facebook Pemkab Sleman,Faskes vaksin,faskes vaksin
12-Jul-21,Facebook Pemkab Sleman,kuota faskes penuh,kuota faskes penuh
13-Jul-21,Website,Vaksinasi anak,vaksinasi anak
13-Jul-21,Website,Penegakan PPKM,penegakan ppkm
13-Jul-21,Website,Vaksinasi di Puskesmas Depok 2,vaksinasi puskesmas depok
13-Jul-21,Website,Surat domisili,surat domisili
13-Jul-21,Lapor Sleman,Cara Menganti KK Yang Hilang,cara menganti kk hilang
13-Jul-21,Lapor Sleman,BELUM MUNCUL SERTIFIKAT VAKSIN KE 1,muncul sertifikat vaksin
13-Jul-21,Lapor Sleman,Tidak Mendapat Sertifikat Vaksin,mendapat sertifikat vaksin
13-Jul-21,Lapor Sleman,Toko Melanggar Inbup PPKM Darurat,toko melanggar inbup ppkm darurat
13-Jul-21,Lapor Sleman,Vaksin Anak 12 Th - 17 Th,vaksin anak th th
13-Jul-21,Lapor Sleman,Pertanyaan,pertanyaan
13-Jul-21,Lapor Sleman,Aktivitas Olahraga Voli Di Malam Hari Dan Mengganggu Tetangga,aktivitas olahraga voli hari mengganggu tetangga
13-Jul-21,Lapor Sleman,Program Vaksinasu,program vaksinasu
13-Jul-21,Lapor Sleman,Tidak Ada Respon Dari Admin,respon
13-Jul-21,Twitter,Sinkronisasi NIK,sinkronisasi nik
13-Jul-21,Twitter,Kerumunan vaksin,kerumunan vaksin
13-Jul-21,Twitter,Vaksinasi umum,vaksinasi umum
13-Jul-21,Instagram,Cara Ganti Faskes Vaksin,cara ganti faskes vaksin
14-Jul-21,Lapor Sleman,Berapa Lama Akta Kematian Jadi Setelah Dokumen Semua Kita Upload,berapa lama akta kematian jadi dokumen semua upload
14-Jul-21,Lapor Sleman,Laporan Kerumanan Dan Kenyamana,laporan kerumanan kenyamana
14-Jul-21,Website,Jalan berlubang,jalan berlubang
14-Jul-21,Lapor.go.id,Penyampaian sikap kebertan atas penimbunan samapah Rumah Tangga,penyampaian sikap kebertan atas penimbunan samapah rumah tangga
14-Jul-21,Twitter,Jadwal vaksin,jadwal vaksin
14-Jul-21,Lapor Sleman,Prosedur Legalisir KK,prosedur legalisir kk
14-Jul-21,Twitter,Salah input NIK saat daftar vaksin,salah input nik daftar vaksin
14-Jul-21,Lapor Sleman,Aduan Limbah Penggilingan Plastik,aduan limbah penggilingan plastik
14-Jul-21,Lapor Sleman,Ada Masalah Dengan Username,masalah username
14-Jul-21,Website,KTP luar Sleman beli tanah di Sleman,ktp luar beli tanah
14-Jul-21,Lapor Sleman,Penegakan PPKM,penegakan ppkm
14-Jul-21,Lapor Sleman,Info Vaksinasi,vaksinasi
14-Jul-21,Twitter,Respon DM IG,respon dm ig
14-Jul-21,Facebook Pemkab Sleman,CPNS,cpns
15-Jul-21,Facebook Pemkab Sleman,Faskes vaksin penuh,faskes vaksin penuh
15-Jul-21,Lapor Sleman,"Pendaftaran Vaksin, Tapi Jadwal Gak Lernah Ada",pendaftaran vaksin jadwal lernah
15-Jul-21,Lapor Sleman,SPPT PBB Tahun 2021 Tidak Terbit,sppt pbb tahun terbit
15-Jul-21,Lapor Sleman,Telp Puskesmas Tidak Pernah Diangkat - Selalu Sibuk,telp puskesmas pernah diangkat selalu sibuk
15-Jul-21,Lapor Sleman,Akses Komunikasi Untuk Tunarungu,akses komunikasi tunarungu
15-Jul-21,Lapor Sleman,Ingin Mengurus E-KTP Luar Kota Yang Hilang,mengurus ektp luar kota hilang
15-Jul-21,Lapor Sleman,Cara Ganti Faskes Vaksin,cara ganti faskes vaksin
15-Jul-21,Lapor Sleman,Balap Liar Jl. Gito Gati,balap liar jl gito gati
15-Jul-21,Lapor Sleman,Penegakan PPKM,penegakan ppkm
15-Jul-21,Twitter,Faskes vaksin penuh,faskes vaksin penuh
15-Jul-21,Twitter,Permohonan BPJS Pemerintah,permohonan bpjs pemerintah
15-Jul-21,Twitter,Penegakan PPKM,penegakan ppkm
15-Jul-21,Twitter,Usulan untuk menyediakan tabung gas oksigen disetiap satgas desa,usulan menyediakan tabung gas oksigen disetiap satgas desa
15-Jul-21,Twitter,Vaksin bagi UMUM,vaksin umum
15-Jul-21,Twitter,Vaksin untuk ibu hamil,vaksin ibu hamil
15-Jul-21,Twitter,PPKM Darurat,ppkm darurat
15-Jul-21,Twitter,Pemadaman PJU,pemadaman pju
15-Jul-21,Instagram,Permohonan cetak KTPel ulang,permohonan cetak ktpel ulang
15-Jul-21,Instagram,CPNS,cpns
15-Jul-21,Website,CPNS,cpns
15-Jul-21,Website,Aduan kurang lengkap,aduan kurang lengkap
15-Jul-21,Website,Cara Ganti Faskes Vaksin,cara ganti faskes vaksin
15-Jul-21,Instagram,Pendaftaran vaksin,pendaftaran vaksin
16-Jul-21,Website,CPNS,cpns
16-Jul-21,Twitter,CPNS,cpns
16-Jul-21,Twitter,Pelayanan Bank BPD,pelayanan bank bpd
16-Jul-21,Lapor Sleman,Perubahan Faskes Vaksin Gotong Royong,perubahan faskes vaksin gotong royong
16-Jul-21,Email,Validasi NIK,validasi nik
16-Jul-21,Twitter,Penyelenggaraan Hajatan,penyelenggaraan hajatan
16-Jul-21,Lapor Sleman,Pelanggaran Prokes,pelanggaran prokes
16-Jul-21,Lapor Sleman,Positive Covid 19,positive covid
16-Jul-21,Website,Informasi Bansos,bansos
16-Jul-21,Email,Penegakan PPKM,penegakan ppkm
16-Jul-21,Lapor Sleman,Warmindo Dijadikan Kumpul Para Anak Klitih,warmindo dijadikan kumpul anak klitih
16-Jul-21,Lapor Sleman,Vaksin,vaksin
16-Jul-21,Lapor Sleman,Hotline Covid Puskesmas Mlati 1 Super Lamban,hotline covid puskesmas mlati super lamban
16-Jul-21,Website,Bantuan sosial PKH,bantuan sosial pkh
16-Jul-21,Twitter,Vaksin untuk ibu hamil,vaksin ibu hamil
16-Jul-21,Facebook Pemkab Sleman,Kuota vaksin penuh,kuota vaksin penuh
16-Jul-21,Instagram,Kuota vaksin penuh,kuota vaksin penuh
17-Jul-21,Lapor Sleman,Vaksinasi,vaksinasi
17-Jul-21,Lapor Sleman,Sertifikasi Vaksin Dosis Pertama,sertifikasi vaksin dosis pertama
17-Jul-21,Lapor Sleman,E-Sertifikat Vaksin Covid19,esertifikat vaksin covid
17-Jul-21,Lapor Sleman,Manusia Silver Maksa,manusia silver maksa
17-Jul-21,Lapor Sleman,Pelanggaran PPKM,pelanggaran ppkm
17-Jul-21,Lapor Sleman,Warga Suspect Covid,warga suspect covid
17-Jul-21,Lapor Sleman,Gaji Telat Dan Service,gaji telat service
17-Jul-21,Lapor Sleman,Pelanggaran Ppkm Darurat,pelanggaran ppkm darurat
17-Jul-21,Website,Anak asrama,anak asrama
17-Jul-21,Website,Permohonan Piala Bupati,permohonan piala bupati
17-Jul-21,Twitter,Jadwal vaksin,jadwal vaksin
17-Jul-21,Twitter,Bantuan obat untuk pasien isoman,bantuan obat pasien isoman
17-Jul-21,Twitter,CPNS,cpns
18-Jul-21,Lapor Sleman,Jalan Gelap Di Jalan Titi Bumi Patran,jalan gelap jalan titi bumi patran
18-Jul-21,Lapor Sleman,Acara Pernikahan Di Tengah Pandemi,acara pernikahan tengah pandemi
18-Jul-21,Lapor Sleman,Tempat Pendaftaran Klinik SWA,tempat pendaftaran klinik swa
18-Jul-21,Lapor Sleman,Lapor Perbaikan KTP .,perbaikan ktp
18-Jul-21,Lapor Sleman,Tindak Lanjut Aturan Pendatang Selama PPKM 3 - 20 Juli 2021,aturan pendatang selama ppkm juli
18-Jul-21,Website,Bantuan Sosial,bantuan sosial
18-Jul-21,Twitter,Informasi vaksin anak,vaksin anak
18-Jul-21,Twitter,CPNS,cpns
18-Jul-21,Twitter,Informasi shelter,shelter
18-Jul-21,Instagram,Pelaporan pasien terkonfirmasi covid - 19,pelaporan pasien terkonfirmasi covid
18-Jul-21,Instagram,Cara ganti Faskes Vaksin,cara ganti faskes vaksin
18-Jul-21,Instagram,Sosialisasi Sholat Ied,sosialisasi sholat ied
18-Jul-21,Instagram,Jam operasional puskesmas,jam operasional puskesmas
18-Jul-21,Instagram,CPNS,cpns
19-Jul-21,Instagram,Vaksin,vaksin
,Lapor Sleman,Gangguan Bau Peternakan Ayam,gangguan bau peternakan ayam
19-Jul-21,Twitter,Penegakan PPKM,penegakan ppkm
19-Jul-21,Twitter,Jadwal vaksin,jadwal vaksin
19-Jul-21,Lapor Sleman,Bagaimana Cara Melaporkan Orang Yang Sudah Dipastikan Positif Corona Namun Berkeliaran?,bagaimana cara melaporkan orang dipastikan positif corona berkeliaran
19-Jul-21,Lapor Sleman,Sengketa Tanah,sengketa tanah
19-Jul-21,Lapor Sleman,Pemotongan Hewan Qurban,pemotongan hewan qurban
19-Jul-21,Lapor Sleman,Sholat Idul Adha 1442H Di Sleman,sholat idul adha h
19-Jul-21,Lapor Sleman,Info Vaksin Yang Gapake Domisili,vaksin gapake domisili
19-Jul-21,Website,Bantuan Sosial Jadup,bantuan sosial jadup
19-Jul-21,Twitter,Kuota faskes penuh,kuota faskes penuh
19-Jul-21,Instagram,CPNS,cpns
19-Jul-21,Instagram,Cara Ganti Faskes Vaksin,cara ganti faskes vaksin
19-Jul-21,Instagram,vaksin untuk warga luar domisili,vaksin warga luar domisili
20-Jul-21,Website,Bantuan Sosial,bantuan sosial
20-Jul-21,Website,Permohonan pembuatan polisi tidur / marka kejut,permohonan pembuatan polisi tidur marka kejut
20-Jul-21,Lapor Sleman,Vaksinisasi,vaksinisasi
20-Jul-21,Lapor Sleman,Lanpu Bangjo Mati Hanya Saat Malam,lanpu bangjo mati
20-Jul-21,Twitter,Vaksin untuk KTP luar daerah,vaksin ktp luar
20-Jul-21,Twitter,Prosedur pelaporan pasien Covid,prosedur pelaporan pasien covid
20-Jul-21,Instagram,Vaksin bagi penyintas,vaksin penyintas
20-Jul-21,Instagram,CPNS,cpns
20-Jul-21,Instagram,Sertifikat vaksin,sertifikat vaksin
21-Jul-21,Instagram,CPNS,cpns
21-Jul-21,Lapor Sleman,Program Vaksinasi,program vaksinasi
21-Jul-21,Lapor Sleman,Cara Membuat KK Sendiri,cara membuat kk sendiri
21-Jul-21,Lapor Sleman,Pelanggaran Prokes,pelanggaran prokes
21-Jul-21,Lapor Sleman,Laporan Vaksin,laporan vaksin
21-Jul-21,Twitter,Jam pelayanan Dukcapil,jam pelayanan dukcapil
21-Jul-21,Twitter,Aduan tidak jelas,aduan jelas
21-Jul-21,Twitter,CPNS,cpns
21-Jul-21,Twitter,Kuota faskes penuh,kuota faskes penuh
21-Jul-21,Instagram,Vaksinasi bagi penyintas,vaksinasi penyintas
21-Jul-21,Instagram,Pindah KK,pindah kk
21-Jul-21,Instagram,vaksin,vaksin
22-Jul-21,Instagram,Jam pelayanan Dukcapil,jam pelayanan dukcapil
22-Jul-21,Lapor Sleman,Pendaftaran Vaksinasi,pendaftaran vaksinasi
22-Jul-21,Lapor Sleman,Kerumunan Saat PPKM,kerumunan ppkm
22-Jul-21,Lapor Sleman,Vaksinasi Covid-19,vaksinasi covid
22-Jul-21,Lapor Sleman,Isolasi Mandiri,isolasi mandiri
22-Jul-21,Lapor Sleman,Vaksinasi Dosis Ke-2,vaksinasi dosis
22-Jul-21,Lapor Sleman,Pelanggaran PPKM,pelanggaran ppkm
22-Jul-21,Website,Status vaksin di website sleman masih menunggu,status vaksin website menunggu
22-Jul-21,Facebook Pemkab Sleman,Vaksin untuk mahasiswa,vaksin mahasiswa
22-Jul-21,Instagram,Kuota vaksin,kuota vaksin
22-Jul-21,Instagram,Konsultasi karena terpapar covid 19,konsultasi terpapar covid
22-Jul-21,Instagram,Informasi vaksin kedua,vaksin kedua
22-Jul-21,Instagram,Cara Ganti Faskes Vaksin,cara ganti faskes vaksin
23-Jul-21,Lapor Sleman,Ppkm Pilih Kasih Masih Banyak Tempat Kerumunan,ppkm pilih banyak tempat kerumunan
23-Jul-21,Lapor Sleman,Instalasi Listrik Bocor,instalasi listrik bocor
23-Jul-21,Lapor Sleman,Penulisan Nama Yang Salah pada sertifikat vaksin,penulisan nama salah sertifikat vaksin
23-Jul-21,Lapor Sleman,Daftar vaksin umum,daftar vaksin umum
23-Jul-21,Lapor Sleman,Sertifikat Vaksin,sertifikat vaksin
23-Jul-21,Website,Cafe menjual miras dan menyetel musik keras,cafe menjual miras menyetel musik keras
23-Jul-21,Facebook Pemkab Sleman,ganti faskes vaksin,ganti faskes vaksin
23-Jul-21,Instagram,Informasi tempat vaksin,tempat vaksin
23-Jul-21,Instagram,PPKM,ppkm
23-Jul-21,Instagram,Pembuatan SIM,pembuatan sim
23-Jul-21,Instagram,Vaksin untuk mahasiswa,vaksin mahasiswa
23-Jul-21,Instagram,Lokasi vaksin kedua,lokasi vaksin kedua
23-Jul-21,Instagram,Cara Ganti Faskes Vaksin,cara ganti faskes vaksin
24-Jul-21,Lapor Sleman,Info Pasca Vaksin di aplikasi peduli lindungi,pasca vaksin aplikasi peduli lindungi
24-Jul-21,Lapor Sleman,PAM Dan Listrik Minomartani Mati,pam listrik minomartani mati
24-Jul-21,Website,BLT,blt
24-Jul-21,Twitter,Kuota faskes vaksin penuh,kuota faskes vaksin penuh
24-Jul-21,Twitter,Vaksin Ibu Hamil,vaksin ibu hamil
24-Jul-21,Instagram,Informasi contac PLN,contac pln
24-Jul-21,Instagram,Pelaporan pasien terkonfirmasi covid - 19,pelaporan pasien terkonfirmasi covid
24-Jul-21,Instagram,Cara Ganti Faskes Vaksin,cara ganti faskes vaksin
24-Jul-21,Instagram,Jam operasional toko baju saat PPKM,jam operasional toko baju ppkm
24-Jul-21,Instagram,Vaksin Anak 12 Th - 17 Th,vaksin anak th th
25-Jul-21,Lapor Sleman,Drainase Jl.Ringin Raya Seringa Rusak,drainase jlringin raya seringa rusak
25-Jul-21,Lapor Sleman,Toko Rejo Grosir Gula Tak Taat Prokes,toko rejo grosir gula taat prokes
25-Jul-21,Lapor Sleman,Ketidaktahuan Aparat Desa Kami,ketidaktahuan aparat desa
25-Jul-21,Website,Obat bagi warga isoman,obat warga isoman
25-Jul-21,Website,TIdak ada biaya untuk tes antigen,biaya tes antigen
25-Jul-21,Twitter,Informasi perpanjangan PPKM,perpanjangan ppkm
25-Jul-21,Instagram,CPNS,cpns
25-Jul-21,Instagram,Keringanan cicilan motor,keringanan cicilan motor
25-Jul-21,Instagram,Validasi NIK,validasi nik
25-Jul-21,Instagram,kuota faskes penuh,kuota faskes penuh
25-Jul-21,Instagram,Cara Ganti Faskes Vaksin,cara ganti faskes vaksin
25-Jul-21,Instagram,Vaksin luar daerah,vaksin luar
26-Jul-21,Lapor Sleman,Bantuan sosial untuk masyarakat yang sedang menjalani Isolasi Mandiri,bantuan sosial masyarakat sedang menjalani isolasi mandiri
26-Jul-21,Lapor Sleman,"Kantor Notaris A.Yossi Aribowo Masih Buka, Walau Staff Sudah Banyak Yg Positif Covid-19",kantor notaris ayossi aribowo buka staff banyak positif covid
26-Jul-21,Lapor Sleman,Pohon Terlalu Tinggi,pohon terlalu tinggi
26-Jul-21,Website,TIdak ada biaya untuk tes antigen,biaya tes antigen
26-Jul-21,Website,Faskes vaksin penuh,faskes vaksin penuh
26-Jul-21,Twitter,CPNS,cpns
26-Jul-21,Twitter,Alur pendaftaran vaksin,alur pendaftaran vaksin
26-Jul-21,Twitter,Kuota vaksin penuh,kuota vaksin penuh
26-Jul-21,Lapor Sleman,Jalan Rusak,jalan rusak
26-Jul-21,Lapor Sleman,Penggantian Ktp,penggantian ktp
26-Jul-21,Lapor Sleman,Jalan Berlubang,jalan berlubang
26-Jul-21,Website,Warga isoman keluar rumah,warga isoman keluar rumah
26-Jul-21,Twitter,Pengadual pungli,pengadual pungli
26-Jul-21,Lapor Sleman,Pipa Pdam Bocor,pipa pdam bocor
26-Jul-21,Lapor Sleman,Kondisi Keluarga Positif Covid,kondisi keluarga positif covid
26-Jul-21,Website,Vaksin untuk perjalanan,vaksin perjalanan
26-Jul-21,Website,Bantuan sosial untuk balita,bantuan sosial balita
26-Jul-21,Website,Kuota vaksin penuh,kuota vaksin penuh
26-Jul-21,Twitter,Jam pelayanan Puskesmas,jam pelayanan puskesmas
26-Jul-21,Twitter,PPKM sektor perdagangan,ppkm sektor perdagangan
27-Jul-21,Twitter,Permohonan bantuan biaya sekolah,permohonan bantuan biaya sekolah
27-Jul-21,Twitter,Penerapan WFH dan WFO di lingkungan Sekolah,penerapan wfh wfo lingkungan sekolah
27-Jul-21,Twitter,Pelayanan Kalurahan,pelayanan kalurahan
27-Jul-21,Website,Bantuan sosial,bantuan sosial
27-Jul-21,Facebook Pemkab Sleman,Informasi pajak 5 tahunan,pajak tahunan
27-Jul-21,Facebook Pemkab Sleman,Informasi bantuan sosial,bantuan sosial
28-Jul-21,Twitter,"Warga meninggal di covidkan dan di minta biaya 2,5 juta",warga meninggal covidkan biaya juta
28-Jul-21,Twitter,Vaksin kedua di taman kuliner sepi,vaksin kedua taman kuliner sepi
28-Jul-21,Lapor Sleman,Pembuangan Limbah Medis Swab Antigen,pembuangan limbah medis swab antigen
28-Jul-21,Lapor Sleman,Pelanggaran Protokol Kesehatan,pelanggaran protokol kesehatan
28-Jul-21,Lapor Sleman,BPNT,bpnt
28-Jul-21,Lapor Sleman,Kabel Di Taman Denggung,kabel taman denggung
28-Jul-21,Lapor Sleman,Surat Warga untuk bantuan,surat warga bantuan
28-Jul-21,Website,Bantuan Sosial,bantuan sosial
28-Jul-21,Website,Retribusi Kaliurang,retribusi kaliurang
28-Jul-21,Twitter,NARAHUBUNG Puskesmas untuk Pencegahan & Penanganan Covid,narahubung puskesmas pencegahan penanganan covid
28-Jul-21,Twitter,Jadwal vaksin,jadwal vaksin
28-Jul-21,Facebook Pemkab Sleman,Permohonan pindah penduduk,permohonan pindah penduduk
28-Jul-21,Facebook Pemkab Sleman,Pembaruan KK,pembaruan kk
28-Jul-21,Facebook Pemkab Sleman,Pemberlakuan WFH dan WFO bagi GUru di sekolah,pemberlakuan wfh wfo guru sekolah
29-Jul-21,Lapor Sleman,Suara Sound System Pengamen Menganggu Warga,suara sound system pengamen menganggu warga
29-Jul-21,Lapor.go.id,Sulit Mendapatkan Vaksin di Sleman,sulit mendapatkan vaksin
29-Jul-21,Facebook Pemkab Sleman,KKS apakah bisa dicairkan,kks dicairkan
29-Jul-21,Lapor.go.id,Belum Dapat Jadwal Vaksin,jadwal vaksin
29-Jul-21,Lapor Sleman,Vaksinasi COVID-19 Dosis 2,vaksinasi covid dosis
29-Jul-21,Lapor Sleman,Jalan Berlubang & Tergenang,jalan berlubang tergenang
29-Jul-21,Facebook Pemkab Sleman,"Tolong Bantuan PKH Diteliti 
Ulang",bantuan pkh diteliti ulang
